Author,Genre,,,,,,
Legs McNeil,Music,,,,,,
Bob Dylan,Music,,,,,,
David Byrne,Music,,,,,,
Nick Hornby,Music,,,,,,
Michael Azerrad,Music,,,,,,
Carrie Brownstein,Music,,,,,,
Kim Gordon,Music,,,,,,
Rob Sheffield,Music,,,,,,
Danny Sugerman,Music,,,,,,
Simon Reynolds,Music,,,,,,
Anthony Kiedis,Music,,,,,,
Neil Strauss,Music,,,,,,
Bruce Springsteen,Music,,,,,,
Aaron Copland,Music,,,,,,
Jennifer Egan,Music,,,,,,
Miles Davis,Music,,,,,,
Gayle Forman,Music,,,,,,
Lester Bangs,Music,,,,,,
Johnny Cash,Music,,,,,,
Stephen Davis,Music,,,,,,
Kylie Scott,Music,,,,,,
Taylor Jenkins Reid,Music,,,,,,
Eric Clapton,Music,,,,,,
Rachel Cohn,Music,,,,,,
Kurt Donald Cobain,Music,,,,,,
Sara Marcus,Music,,,,,,
Viv Albertine,Music,,,,,,
Jon Savage,Music,,,,,,
Pamela Des Barres,Music,,,,,,
Nikki Sixx,Music,,,,,,
Marilyn Manson,Music,,,,,,
Ozzy Osbourne,Music,,,,,,
Chuck Klosterman,Music,,,,,,
Deborah Curtis,Music,,,,,,
Michael Moynihan,Music,,,,,,
Leila Sales,Music,,,,,,
Ian MacDonald,Music,,,,,,
Jeff Chang,Music,,,,,,
Ted Gioia,Music,,,,,,
Bob Spitz,Music,,,,,,
Susan Cain,Nonfiction,,,,,,
Mary Roach,Nonfiction,,,,,,
Marie Kondo,Nonfiction,,,,,,
Chimamanda Ngozi Adichie,Nonfiction,,,,,,
Ta-Nehisi Coates,Nonfiction,,,,,,
Stephen Hawking,Nonfiction,,,,,,
Michael Pollan,Nonfiction,,,,,,
Richard Dawkins,Nonfiction,,,,,,
Viktor E. Frankl,Nonfiction,,,,,,
Mark Manson,Nonfiction,,,,,,
Jon Ronson,Nonfiction,,,,,,
Plato,Philosophy,,,,,,
Marcus Aurelius,Philosophy,,,,,,
Friedrich Nietsche,Philosophy,,,,,,
Jostein Gaarder,Philosophy,,,,,,
Niccolo Machiavelli,Philosophy,,,,,,
Albert Camus,Philosophy,,,,,,
Robert M. Pirsig,Philosophy,,,,,,
Lao Tzu,Philosophy,,,,,,
Aristotle,Philosophy,,,,,,
Bertrand Russell,Philosophy,,,,,,
Hermann Hesse,Philosophy,,,,,,
Immanuel Kant,Philosophy,,,,,,
Karl Marx,Philosophy,,,,,,
Voltaire,Philosophy,,,,,,
Martin Heidegger,Philosophy,,,,,,
Jean-Paul Sartre,Philosophy,,,,,,
Thomas Hobbes,Philosophy,,,,,,
Soren Kierkegaard,Philosophy,,,,,,
Seneca,Philosophy,,,,,,
David Hume,Philosophy,,,,,,
Henry David Thoreau,Philosophy,,,,,,
Ayn Rand,Philosophy,,,,,,
John Stuart Mill,Philosophy,,,,,,
Jean-Jacques Rousseau,Philosophy,,,,,,
Thomas More,Philosophy,,,,,,
Ludwig Wittgenstein,Philosophy,,,,,,
Kahlil Gibran,Philosophy,,,,,,
Will Durant,Philosophy,,,,,,
Baruch Spinoza,Philosophy,,,,,,
Rene Descartes,Philosophy,,,,,,
Benjamin Hoff,Philosophy,,,,,,
Michel Foucault,Philosophy,,,,,,
Alain de Botton,Philosophy,,,,,,
Rupi Kaur,Poetry,,,,,,
Walt Whitman,Poetry,,,,,,
Sylvia Plath,Poetry,,,,,,
Allen Ginsberg,Poetry,,,,,,
Homer,Poetry,,,,,,
Emily Dickinson,Poetry,,,,,,
